ytid,start_time,class,set
9705,0,drum kit,train
2888,0,drum kit,train
10303,0,drum kit,train
4235,0,drum kit,train
801,0,drum kit,train
6422,0,drum kit,train
41,0,drum kit,train
9711,0,drum kit,train
9077,0,drum kit,train
8369,0,drum kit,train
5895,0,drum kit,train
10465,0,drum kit,train
1403,0,drum kit,train
8341,0,drum kit,train
7072,0,drum kit,train
3214,0,drum kit,train
5665,0,drum kit,train
5103,0,drum kit,train
3572,0,drum kit,train
8427,0,drum kit,train
1365,0,drum kit,train
9739,0,drum kit,train
1371,0,drum kit,train
5117,0,drum kit,train
2678,0,drum kit,train
3566,0,drum kit,train
4209,0,drum kit,train
3200,0,drum kit,train
10459,0,drum kit,train
6378,0,drum kit,train
1417,0,drum kit,train
183,0,drum kit,train
8802,0,drum kit,train
3957,0,drum kit,train
4786,0,drum kit,train
6185,0,drum kit,train
4792,0,drum kit,train
2485,0,drum kit,train
3943,0,drum kit,train
8816,0,drum kit,train
418,0,drum kit,train
4976,0,drum kit,train
342,0,drum kit,train
8194,0,drum kit,train
424,0,drum kit,train
4023,0,drum kit,train
10115,0,drum kit,train
2452,0,drum kit,train
3994,0,drum kit,train
9507,0,drum kit,train
9261,0,drum kit,train
6152,0,drum kit,train
2320,0,drum kit,train
4751,0,drum kit,train
7258,0,drum kit,train
1629,0,drum kit,train
6620,0,drum kit,train
4037,0,drum kit,train
3758,0,drum kit,train
3980,0,drum kit,train
8625,0,drum kit,train
3770,0,drum kit,train
10129,0,drum kit,train
5467,0,drum kit,train
3016,0,drum kit,train
4779,0,drum kit,train
8143,0,drum kit,train
1601,0,drum kit,train
395,0,drum kit,train
7264,0,drum kit,train
1615,0,drum kit,train
9249,0,drum kit,train
5473,0,drum kit,train
5315,0,drum kit,train
1173,0,drum kit,train
7502,0,drum kit,train
8631,0,drum kit,train
3003,0,drum kit,train
9248,0,drum kit,train
8156,0,drum kit,train
7265,0,drum kit,train
7503,0,drum kit,train
5314,0,drum kit,train
3765,0,drum kit,train
10128,0,drum kit,train
8624,0,drum kit,train
7517,0,drum kit,train
6609,0,drum kit,train
394,0,drum kit,train
8142,0,drum kit,train
3017,0,drum kit,train
2309,0,drum kit,train
5466,0,drum kit,train
9274,0,drum kit,train
1628,0,drum kit,train
2321,0,drum kit,train
4988,0,drum kit,train
3981,0,drum kit,train
5328,0,drum kit,train
2447,0,drum kit,train
6621,0,drum kit,train
8618,0,drum kit,train
9506,0,drum kit,train
9260,0,drum kit,train
8195,0,drum kit,train
343,0,drum kit,train
4977,0,drum kit,train
425,0,drum kit,train
431,0,drum kit,train
4963,0,drum kit,train
8181,0,drum kit,train
357,0,drum kit,train
1833,0,drum kit,train
2484,0,drum kit,train
2490,0,drum kit,train
1827,0,drum kit,train
6190,0,drum kit,train
5499,0,drum kit,train
4787,0,drum kit,train
2679,0,drum kit,train
5116,0,drum kit,train
1370,0,drum kit,train
7701,0,drum kit,train
8432,0,drum kit,train
182,0,drum kit,train
1416,0,drum kit,train
6379,0,drum kit,train
3215,0,drum kit,train
7073,0,drum kit,train
196,0,drum kit,train
68,0,drum kit,train
7715,0,drum kit,train
828,0,drum kit,train
5102,0,drum kit,train
800,0,drum kit,train
4234,0,drum kit,train
10302,0,drum kit,train
2645,0,drum kit,train
10464,0,drum kit,train
2123,0,drum kit,train
9062,0,drum kit,train
10470,0,drum kit,train
2137,0,drum kit,train
5880,0,drum kit,train
3229,0,drum kit,train
4220,0,drum kit,train
2889,0,drum kit,train
10316,0,drum kit,train
2651,0,drum kit,train
54,0,drum kit,train
1358,0,drum kit,train
9937,0,drum kit,train
627,0,drum kit,train
2862,0,drum kit,train
141,0,drum kit,train
9089,0,drum kit,train
8397,0,drum kit,train
155,0,drum kit,train
8383,0,drum kit,train
2876,0,drum kit,train
83,0,drum kit,train
7926,0,drum kit,train
7098,0,drum kit,train
5857,0,drum kit,train
4591,0,drum kit,train
4585,0,drum kit,train
169,0,drum kit,train
6392,0,drum kit,train
97,0,drum kit,train
2692,0,drum kit,train
5062,0,drum kit,train
790,0,drum kit,train
9658,0,drum kit,train
7113,0,drum kit,train
8220,0,drum kit,train
3375,0,drum kit,train
5704,0,drum kit,train
3361,0,drum kit,train
6219,0,drum kit,train
1576,0,drum kit,train
7661,0,drum kit,train
1210,0,drum kit,train
5076,0,drum kit,train
3407,0,drum kit,train
974,0,drum kit,train
9664,0,drum kit,train
2731,0,drum kit,train
4340,0,drum kit,train
4426,0,drum kit,train
3349,0,drum kit,train
5738,0,drum kit,train
9102,0,drum kit,train
6231,0,drum kit,train
9116,0,drum kit,train
4432,0,drum kit,train
2043,0,drum kit,train
9670,0,drum kit,train
6543,0,drum kit,train
8585,0,drum kit,train
2916,0,drum kit,train
2902,0,drum kit,train
747,0,drum kit,train
8591,0,drum kit,train
7852,0,drum kit,train
6594,0,drum kit,train
2094,0,drum kit,train
2080,0,drum kit,train
5937,0,drum kit,train
7846,0,drum kit,train
6580,0,drum kit,train
4397,0,drum kit,train
5506,0,drum kit,train
3177,0,drum kit,train
7311,0,drum kit,train
1760,0,drum kit,train
6769,0,drum kit,train
8744,0,drum kit,train
7477,0,drum kit,train
3611,0,drum kit,train
10048,0,drum kit,train
1012,0,drum kit,train
8988,0,drum kit,train
8750,0,drum kit,train
7463,0,drum kit,train
8036,0,drum kit,train
1774,0,drum kit,train
9328,0,drum kit,train
5512,0,drum kit,train
3163,0,drum kit,train
6033,0,drum kit,train
9300,0,drum kit,train
4142,0,drum kit,train
9466,0,drum kit,train
6741,0,drum kit,train
4156,0,drum kit,train
3639,0,drum kit,train
10060,0,drum kit,train
5248,0,drum kit,train
2241,0,drum kit,train
7339,0,drum kit,train
1748,0,drum kit,train
237,0,drum kit,train
4803,0,drum kit,train
6972,0,drum kit,train
9499,0,drum kit,train
545,0,drum kit,train
3188,0,drum kit,train
8963,0,drum kit,train
3836,0,drum kit,train
4181,0,drum kit,train
4195,0,drum kit,train
6782,0,drum kit,train
8977,0,drum kit,train
2282,0,drum kit,train
3834,0,drum kit,train
6794,0,drum kit,train
1945,0,drum kit,train
209,0,drum kit,train
2294,0,drum kit,train
1951,0,drum kit,train
1789,0,drum kit,train
8975,0,drum kit,train
6780,0,drum kit,train
6958,0,drum kit,train
4197,0,drum kit,train
5289,0,drum kit,train
8785,0,drum kit,train
10089,0,drum kit,train
235,0,drum kit,train
221,0,drum kit,train
1038,0,drum kit,train
6757,0,drum kit,train
9464,0,drum kit,train
4626,0,drum kit,train
3149,0,drum kit,train
5538,0,drum kit,train
6025,0,drum kit,train
9316,0,drum kit,train
8008,0,drum kit,train
1992,0,drum kit,train
4632,0,drum kit,train
2243,0,drum kit,train
10062,0,drum kit,train
4154,0,drum kit,train
6743,0,drum kit,train
9470,0,drum kit,train
5262,0,drum kit,train
3613,0,drum kit,train
8746,0,drum kit,train
590,0,drum kit,train
1004,0,drum kit,train
1762,0,drum kit,train
8020,0,drum kit,train
7313,0,drum kit,train
3175,0,drum kit,train
5504,0,drum kit,train
3161,0,drum kit,train
5510,0,drum kit,train
6019,0,drum kit,train
1776,0,drum kit,train
8034,0,drum kit,train
7461,0,drum kit,train
1010,0,drum kit,train
2519,0,drum kit,train
4168,0,drum kit,train
3388,0,drum kit,train
2096,0,drum kit,train
7688,0,drum kit,train
6596,0,drum kit,train
7850,0,drum kit,train
4381,0,drum kit,train
4395,0,drum kit,train
9869,0,drum kit,train
6582,0,drum kit,train
5935,0,drum kit,train
2082,0,drum kit,train
9841,0,drum kit,train
989,0,drum kit,train
9699,0,drum kit,train
751,0,drum kit,train
8593,0,drum kit,train
7878,0,drum kit,train
745,0,drum kit,train
5909,0,drum kit,train
6233,0,drum kit,train
2055,0,drum kit,train
4424,0,drum kit,train
4342,0,drum kit,train
9666,0,drum kit,train
6555,0,drum kit,train
7893,0,drum kit,train
976,0,drum kit,train
6541,0,drum kit,train
962,0,drum kit,train
3439,0,drum kit,train
10260,0,drum kit,train
2041,0,drum kit,train
4430,0,drum kit,train
1548,0,drum kit,train
2069,0,drum kit,train
7111,0,drum kit,train
8222,0,drum kit,train
1560,0,drum kit,train
6569,0,drum kit,train
1206,0,drum kit,train
792,0,drum kit,train
3411,0,drum kit,train
3405,0,drum kit,train
1212,0,drum kit,train
9896,0,drum kit,train
7663,0,drum kit,train
8550,0,drum kit,train
8236,0,drum kit,train
1574,0,drum kit,train
5712,0,drum kit,train
3363,0,drum kit,train
4593,0,drum kit,train
5855,0,drum kit,train
6384,0,drum kit,train
7924,0,drum kit,train
81,0,drum kit,train
9909,0,drum kit,train
2684,0,drum kit,train
2848,0,drum kit,train
7930,0,drum kit,train
5699,0,drum kit,train
4587,0,drum kit,train
143,0,drum kit,train
10499,0,drum kit,train
7918,0,drum kit,train
625,0,drum kit,train
9935,0,drum kit,train
2874,0,drum kit,train
157,0,drum kit,train
1428,0,drum kit,train
10466,0,drum kit,train
2121,0,drum kit,train
10300,0,drum kit,train
2647,0,drum kit,train
3559,0,drum kit,train
4236,0,drum kit,train
802,0,drum kit,train
9712,0,drum kit,train
42,0,drum kit,train
816,0,drum kit,train
10314,0,drum kit,train
4544,0,drum kit,train
4,0,drum kit,train
9060,0,drum kit,train
5672,0,drum kit,train
9048,0,drum kit,train
180,0,drum kit,train
7065,0,drum kit,train
8356,0,drum kit,train
8430,0,drum kit,train
1372,0,drum kit,train
5114,0,drum kit,train
3565,0,drum kit,train
5100,0,drum kit,train
8424,0,drum kit,train
6409,0,drum kit,train
194,0,drum kit,train
3217,0,drum kit,train
2109,0,drum kit,train
2486,0,drum kit,train
3940,0,drum kit,train
3798,0,drum kit,train
6838,0,drum kit,train
8815,0,drum kit,train
6186,0,drum kit,train
4949,0,drum kit,train
369,0,drum kit,train
1825,0,drum kit,train
427,0,drum kit,train
8829,0,drum kit,train
4975,0,drum kit,train
8183,0,drum kit,train
1819,0,drum kit,train
4961,0,drum kit,train
6810,0,drum kit,train
2445,0,drum kit,train
3983,0,drum kit,train
2323,0,drum kit,train
4752,0,drum kit,train
8168,0,drum kit,train
9276,0,drum kit,train
9262,0,drum kit,train
4020,0,drum kit,train
10116,0,drum kit,train
6637,0,drum kit,train
1158,0,drum kit,train
7529,0,drum kit,train
3767,0,drum kit,train
5316,0,drum kit,train
1170,0,drum kit,train
8632,0,drum kit,train
7501,0,drum kit,train
8154,0,drum kit,train
7267,0,drum kit,train
382,0,drum kit,train
6179,0,drum kit,train
3001,0,drum kit,train
5464,0,drum kit,train
3015,0,drum kit,train
1602,0,drum kit,train
396,0,drum kit,train
9538,0,drum kit,train
1164,0,drum kit,train
8626,0,drum kit,train
7515,0,drum kit,train
3773,0,drum kit,train
5302,0,drum kit,train
1603,0,drum kit,train
7272,0,drum kit,train
8141,0,drum kit,train
5465,0,drum kit,train
5303,0,drum kit,train
3772,0,drum kit,train
7514,0,drum kit,train
8627,0,drum kit,train
9539,0,drum kit,train
7500,0,drum kit,train
8633,0,drum kit,train
1171,0,drum kit,train
5317,0,drum kit,train
3766,0,drum kit,train
4009,0,drum kit,train
3000,0,drum kit,train
5471,0,drum kit,train
1617,0,drum kit,train
383,0,drum kit,train
7266,0,drum kit,train
8155,0,drum kit,train
4747,0,drum kit,train
3028,0,drum kit,train
9263,0,drum kit,train
6150,0,drum kit,train
7528,0,drum kit,train
6636,0,drum kit,train
3996,0,drum kit,train
2450,0,drum kit,train
10103,0,drum kit,train
2444,0,drum kit,train
4035,0,drum kit,train
9511,0,drum kit,train
6622,0,drum kit,train
6144,0,drum kit,train
8169,0,drum kit,train
4753,0,drum kit,train
8182,0,drum kit,train
354,0,drum kit,train
432,0,drum kit,train
3969,0,drum kit,train
8828,0,drum kit,train
8196,0,drum kit,train
9288,0,drum kit,train
6193,0,drum kit,train
4784,0,drum kit,train
3955,0,drum kit,train
2493,0,drum kit,train
8800,0,drum kit,train
8814,0,drum kit,train
6839,0,drum kit,train
3941,0,drum kit,train
2487,0,drum kit,train
4948,0,drum kit,train
1830,0,drum kit,train
1367,0,drum kit,train
8425,0,drum kit,train
7716,0,drum kit,train
3570,0,drum kit,train
10329,0,drum kit,train
5101,0,drum kit,train
5667,0,drum kit,train
2108,0,drum kit,train
3216,0,drum kit,train
4579,0,drum kit,train
8343,0,drum kit,train
1401,0,drum kit,train
181,0,drum kit,train
9049,0,drum kit,train
5673,0,drum kit,train
3202,0,drum kit,train
3564,0,drum kit,train
1373,0,drum kit,train
8431,0,drum kit,train
4223,0,drum kit,train
10315,0,drum kit,train
57,0,drum kit,train
9707,0,drum kit,train
9061,0,drum kit,train
2134,0,drum kit,train
5,0,drum kit,train
5883,0,drum kit,train
2120,0,drum kit,train
4551,0,drum kit,train
7058,0,drum kit,train
1429,0,drum kit,train
6346,0,drum kit,train
9075,0,drum kit,train
6420,0,drum kit,train
803,0,drum kit,train
4237,0,drum kit,train
3558,0,drum kit,train
2646,0,drum kit,train
10301,0,drum kit,train
9920,0,drum kit,train
630,0,drum kit,train
156,0,drum kit,train
5868,0,drum kit,train
8394,0,drum kit,train
624,0,drum kit,train
94,0,drum kit,train
7931,0,drum kit,train
1398,0,drum kit,train
5840,0,drum kit,train
4586,0,drum kit,train
6391,0,drum kit,train
5854,0,drum kit,train
2685,0,drum kit,train
9908,0,drum kit,train
8551,0,drum kit,train
9897,0,drum kit,train
1213,0,drum kit,train
787,0,drum kit,train
5075,0,drum kit,train
3362,0,drum kit,train
5713,0,drum kit,train
9129,0,drum kit,train
1575,0,drum kit,train
8237,0,drum kit,train
7104,0,drum kit,train
8223,0,drum kit,train
4419,0,drum kit,train
3376,0,drum kit,train
2068,0,drum kit,train
5707,0,drum kit,train
5061,0,drum kit,train
10249,0,drum kit,train
3410,0,drum kit,train
8545,0,drum kit,train
7676,0,drum kit,train
1207,0,drum kit,train
5049,0,drum kit,train
3438,0,drum kit,train
4357,0,drum kit,train
963,0,drum kit,train
7886,0,drum kit,train
6540,0,drum kit,train
9673,0,drum kit,train
1549,0,drum kit,train
2040,0,drum kit,train
2054,0,drum kit,train
9101,0,drum kit,train
8579,0,drum kit,train
977,0,drum kit,train
6554,0,drum kit,train
9667,0,drum kit,train
4343,0,drum kit,train
2901,0,drum kit,train
7879,0,drum kit,train
5908,0,drum kit,train
750,0,drum kit,train
9698,0,drum kit,train
988,0,drum kit,train
2915,0,drum kit,train
7845,0,drum kit,train
778,0,drum kit,train
9868,0,drum kit,train
2097,0,drum kit,train
5920,0,drum kit,train
4380,0,drum kit,train
7689,0,drum kit,train
8035,0,drum kit,train
6018,0,drum kit,train
5511,0,drum kit,train
4169,0,drum kit,train
3606,0,drum kit,train
2518,0,drum kit,train
1011,0,drum kit,train
8753,0,drum kit,train
591,0,drum kit,train
7474,0,drum kit,train
8747,0,drum kit,train
5505,0,drum kit,train
3174,0,drum kit,train
2242,0,drum kit,train
4633,0,drum kit,train
8009,0,drum kit,train
9317,0,drum kit,train
6024,0,drum kit,train
9471,0,drum kit,train
4155,0,drum kit,train
2524,0,drum kit,train
10077,0,drum kit,train
9465,0,drum kit,train
6756,0,drum kit,train
1987,0,drum kit,train
9303,0,drum kit,train
6030,0,drum kit,train
2256,0,drum kit,train
3148,0,drum kit,train
4814,0,drum kit,train
220,0,drum kit,train
6965,0,drum kit,train
8790,0,drum kit,train
546,0,drum kit,train
10088,0,drum kit,train
8784,0,drum kit,train
552,0,drum kit,train
1978,0,drum kit,train
4800,0,drum kit,train
5288,0,drum kit,train
4196,0,drum kit,train
6959,0,drum kit,train
6781,0,drum kit,train
4182,0,drum kit,train
2295,0,drum kit,train
4804,0,drum kit,train
230,0,drum kit,train
556,0,drum kit,train
8958,0,drum kit,train
6975,0,drum kit,train
8780,0,drum kit,train
10098,0,drum kit,train
3819,0,drum kit,train
8794,0,drum kit,train
4838,0,drum kit,train
5298,0,drum kit,train
6949,0,drum kit,train
8970,0,drum kit,train
4192,0,drum kit,train
2285,0,drum kit,train
1954,0,drum kit,train
218,0,drum kit,train
1767,0,drum kit,train
6008,0,drum kit,train
7316,0,drum kit,train
3170,0,drum kit,train
5501,0,drum kit,train
2508,0,drum kit,train
3616,0,drum kit,train
7464,0,drum kit,train
9449,0,drum kit,train
1015,0,drum kit,train
3602,0,drum kit,train
3164,0,drum kit,train
1773,0,drum kit,train
8031,0,drum kit,train
7302,0,drum kit,train
2252,0,drum kit,train
9307,0,drum kit,train
8019,0,drum kit,train
6752,0,drum kit,train
10073,0,drum kit,train
4145,0,drum kit,train
2520,0,drum kit,train
4151,0,drum kit,train
7458,0,drum kit,train
9475,0,drum kit,train
6020,0,drum kit,train
1997,0,drum kit,train
5529,0,drum kit,train
2911,0,drum kit,train
8582,0,drum kit,train
9844,0,drum kit,train
7869,0,drum kit,train
754,0,drum kit,train
998,0,drum kit,train
8596,0,drum kit,train
740,0,drum kit,train
2905,0,drum kit,train
9878,0,drum kit,train
768,0,drum kit,train
4384,0,drum kit,train
5924,0,drum kit,train
2093,0,drum kit,train
5930,0,drum kit,train
3399,0,drum kit,train
2087,0,drum kit,train
4390,0,drum kit,train
2939,0,drum kit,train
7699,0,drum kit,train
7841,0,drum kit,train
1203,0,drum kit,train
8541,0,drum kit,train
9887,0,drum kit,train
3414,0,drum kit,train
3372,0,drum kit,train
1565,0,drum kit,train
2078,0,drum kit,train
5071,0,drum kit,train
10259,0,drum kit,train
783,0,drum kit,train
8555,0,drum kit,train
9893,0,drum kit,train
4347,0,drum kit,train
5059,0,drum kit,train
10271,0,drum kit,train
9663,0,drum kit,train
6550,0,drum kit,train
6236,0,drum kit,train
1559,0,drum kit,train
2050,0,drum kit,train
4421,0,drum kit,train
10503,0,drum kit,train
2044,0,drum kit,train
9111,0,drum kit,train
9677,0,drum kit,train
6544,0,drum kit,train
4353,0,drum kit,train
10265,0,drum kit,train
2865,0,drum kit,train
620,0,drum kit,train
8390,0,drum kit,train
146,0,drum kit,train
10488,0,drum kit,train
5878,0,drum kit,train
152,0,drum kit,train
7909,0,drum kit,train
84,0,drum kit,train
1388,0,drum kit,train
5688,0,drum kit,train
4596,0,drum kit,train
6395,0,drum kit,train
5844,0,drum kit,train
4582,0,drum kit,train
90,0,drum kit,train
7935,0,drum kit,train
9918,0,drum kit,train
7706,0,drum kit,train
1377,0,drum kit,train
5111,0,drum kit,train
3206,0,drum kit,train
4569,0,drum kit,train
2118,0,drum kit,train
7060,0,drum kit,train
8353,0,drum kit,train
1405,0,drum kit,train
9059,0,drum kit,train
7074,0,drum kit,train
8347,0,drum kit,train
5105,0,drum kit,train
3574,0,drum kit,train
7712,0,drum kit,train
2642,0,drum kit,train
4233,0,drum kit,train
807,0,drum kit,train
9717,0,drum kit,train
9071,0,drum kit,train
5893,0,drum kit,train
2124,0,drum kit,train
5887,0,drum kit,train
1,0,drum kit,train
9065,0,drum kit,train
6430,0,drum kit,train
10311,0,drum kit,train
2656,0,drum kit,train
5139,0,drum kit,train
3548,0,drum kit,train
4970,0,drum kit,train
8192,0,drum kit,train
1808,0,drum kit,train
6801,0,drum kit,train
422,0,drum kit,train
436,0,drum kit,train
8838,0,drum kit,train
9298,0,drum kit,train
350,0,drum kit,train
8186,0,drum kit,train
6183,0,drum kit,train
378,0,drum kit,train
1834,0,drum kit,train
4794,0,drum kit,train
2483,0,drum kit,train
8810,0,drum kit,train
6829,0,drum kit,train
3951,0,drum kit,train
2497,0,drum kit,train
4780,0,drum kit,train
4958,0,drum kit,train
387,0,drum kit,train
1613,0,drum kit,train
5475,0,drum kit,train
3004,0,drum kit,train
3762,0,drum kit,train
5313,0,drum kit,train
1175,0,drum kit,train
7504,0,drum kit,train
3776,0,drum kit,train
2468,0,drum kit,train
7276,0,drum kit,train
2326,0,drum kit,train
5449,0,drum kit,train
6140,0,drum kit,train
6626,0,drum kit,train
7538,0,drum kit,train
3986,0,drum kit,train
2440,0,drum kit,train
10107,0,drum kit,train
4025,0,drum kit,train
3992,0,drum kit,train
2454,0,drum kit,train
10113,0,drum kit,train
9501,0,drum kit,train
6154,0,drum kit,train
9500,0,drum kit,train
6633,0,drum kit,train
4742,0,drum kit,train
9266,0,drum kit,train
8178,0,drum kit,train
6141,0,drum kit,train
5448,0,drum kit,train
10106,0,drum kit,train
3987,0,drum kit,train
9514,0,drum kit,train
6627,0,drum kit,train
1148,0,drum kit,train
2469,0,drum kit,train
7511,0,drum kit,train
8622,0,drum kit,train
1160,0,drum kit,train
1606,0,drum kit,train
8144,0,drum kit,train
3005,0,drum kit,train
5474,0,drum kit,train
1612,0,drum kit,train
386,0,drum kit,train
7505,0,drum kit,train
5312,0,drum kit,train
3788,0,drum kit,train
2496,0,drum kit,train
3950,0,drum kit,train
8805,0,drum kit,train
1821,0,drum kit,train
4959,0,drum kit,train
4781,0,drum kit,train
1835,0,drum kit,train
6182,0,drum kit,train
8811,0,drum kit,train
2482,0,drum kit,train
3944,0,drum kit,train
437,0,drum kit,train
8187,0,drum kit,train
351,0,drum kit,train
9299,0,drum kit,train
1809,0,drum kit,train
345,0,drum kit,train
423,0,drum kit,train
6800,0,drum kit,train
6357,0,drum kit,train
9064,0,drum kit,train
10476,0,drum kit,train
4540,0,drum kit,train
3549,0,drum kit,train
5138,0,drum kit,train
10310,0,drum kit,train
52,0,drum kit,train
6431,0,drum kit,train
9702,0,drum kit,train
6425,0,drum kit,train
46,0,drum kit,train
8408,0,drum kit,train
806,0,drum kit,train
10304,0,drum kit,train
2125,0,drum kit,train
10462,0,drum kit,train
4554,0,drum kit,train
3213,0,drum kit,train
7075,0,drum kit,train
1404,0,drum kit,train
7713,0,drum kit,train
3561,0,drum kit,train
5110,0,drum kit,train
1376,0,drum kit,train
6419,0,drum kit,train
7707,0,drum kit,train
8352,0,drum kit,train
184,0,drum kit,train
1410,0,drum kit,train
3207,0,drum kit,train
4583,0,drum kit,train
6394,0,drum kit,train
7934,0,drum kit,train
609,0,drum kit,train
2694,0,drum kit,train
2680,0,drum kit,train
7920,0,drum kit,train
1389,0,drum kit,train
6380,0,drum kit,train
4597,0,drum kit,train
153,0,drum kit,train
5879,0,drum kit,train
10489,0,drum kit,train
9925,0,drum kit,train
635,0,drum kit,train
621,0,drum kit,train
8391,0,drum kit,train
6223,0,drum kit,train
2045,0,drum kit,train
10502,0,drum kit,train
10264,0,drum kit,train
966,0,drum kit,train
6545,0,drum kit,train
7883,0,drum kit,train
972,0,drum kit,train
6551,0,drum kit,train
7897,0,drum kit,train
2737,0,drum kit,train
10270,0,drum kit,train
5058,0,drum kit,train
4346,0,drum kit,train
2051,0,drum kit,train
6237,0,drum kit,train
9104,0,drum kit,train
7129,0,drum kit,train
3367,0,drum kit,train
4408,0,drum kit,train
5716,0,drum kit,train
1570,0,drum kit,train
8232,0,drum kit,train
7101,0,drum kit,train
9892,0,drum kit,train
6579,0,drum kit,train
1216,0,drum kit,train
782,0,drum kit,train
10258,0,drum kit,train
5064,0,drum kit,train
8540,0,drum kit,train
7673,0,drum kit,train
1202,0,drum kit,train
7115,0,drum kit,train
3398,0,drum kit,train
7698,0,drum kit,train
2938,0,drum kit,train
4391,0,drum kit,train
4385,0,drum kit,train
6592,0,drum kit,train
7854,0,drum kit,train
769,0,drum kit,train
2904,0,drum kit,train
9851,0,drum kit,train
755,0,drum kit,train
7868,0,drum kit,train
9845,0,drum kit,train
8583,0,drum kit,train
2910,0,drum kit,train
5919,0,drum kit,train
6747,0,drum kit,train
7459,0,drum kit,train
10066,0,drum kit,train
2521,0,drum kit,train
5528,0,drum kit,train
1996,0,drum kit,train
9312,0,drum kit,train
6021,0,drum kit,train
8018,0,drum kit,train
1982,0,drum kit,train
9306,0,drum kit,train
6035,0,drum kit,train
4622,0,drum kit,train
4144,0,drum kit,train
10072,0,drum kit,train
2535,0,drum kit,train
6753,0,drum kit,train
3603,0,drum kit,train
5272,0,drum kit,train
580,0,drum kit,train
1014,0,drum kit,train
7465,0,drum kit,train
8756,0,drum kit,train
8030,0,drum kit,train
5514,0,drum kit,train
3165,0,drum kit,train
8024,0,drum kit,train
6009,0,drum kit,train
1000,0,drum kit,train
8742,0,drum kit,train
3617,0,drum kit,train
4178,0,drum kit,train
5266,0,drum kit,train
2509,0,drum kit,train
8971,0,drum kit,train
6784,0,drum kit,train
219,0,drum kit,train
2284,0,drum kit,train
2290,0,drum kit,train
1941,0,drum kit,train
3830,0,drum kit,train
4187,0,drum kit,train
6960,0,drum kit,train
543,0,drum kit,train
10099,0,drum kit,train
4811,0,drum kit,train
225,0,drum kit,train
1969,0,drum kit,train
231,0,drum kit,train
4805,0,drum kit,train
8781,0,drum kit,train
557,0,drum kit,train
227,0,drum kit,train
4813,0,drum kit,train
9489,0,drum kit,train
541,0,drum kit,train
6962,0,drum kit,train
8797,0,drum kit,train
8783,0,drum kit,train
4807,0,drum kit,train
233,0,drum kit,train
2286,0,drum kit,train
3198,0,drum kit,train
8973,0,drum kit,train
7498,0,drum kit,train
3826,0,drum kit,train
4185,0,drum kit,train
3832,0,drum kit,train
8967,0,drum kit,train
569,0,drum kit,train
1943,0,drum kit,train
2292,0,drum kit,train
4608,0,drum kit,train
1770,0,drum kit,train
7301,0,drum kit,train
8032,0,drum kit,train
7467,0,drum kit,train
